from.id.code;to.id.code
sa0a1;sa0i4

sa0i4;sa0s10
sa0i4;sa0s4-5
sa0i4;sa0i1


sa0i1;sa0s4-5
sa0i1;sa0a5
sa0i1;sa0a8
sa0i1;sa0i2

sa0i2;sa0a7
sa0i2;sa0s8
sa0i2;sa0i3
sa0i2;sa0s9
sa0i2;sa0a5

sa0i3;sa0s9
sa0i3;sa0a9
sa0i3;sa0a2
sa0i3;sa0i4


sa1a3;sa1s11
sa1a3;sa1i3
sa1i3;sa1s10
sa1i3;sa1a9
sa1i3;sa1i4
sa1i4;sa1s1
sa1i4;sa1s2
sa1i4;sa1s3
sa1i4;sa1s4
sa1i4;sa1i1
sa1i1;sa1s5
sa1i1;sa1s7
sa1i1;sa1a4
sa1i1;sa1a8
sa1i1;sa1a5
sa1i1;sa1i2
sa1i2;sa1s7
sa1i2;sa1s8
sa1i2;sa1s9

sa2a3;sa2s11
sa2a3;sa2i3
sa2i3;sa2s10
sa2i3;sa2a9
sa2i3;sa2i4
sa2i4;sa2s1
sa2i4;sa2s2
sa2i4;sa2s3
sa2i4;sa2s4
sa2i4;sa2i1
sa2i1;sa2s5
sa2i1;sa2s7
sa2i1;sa2a4
sa2i1;sa2a8
sa2i1;sa2a5
sa2i1;sa2i2
sa2i2;sa2s7
sa2i2;sa2s8
sa2i2;sa2s9


sa3a3;sa3s11
sa3a3;sa3i3
sa3i3;sa3s10
sa3i3;sa3a9
sa3i3;sa3i4
sa3i4;sa3s1
sa3i4;sa3s2
sa3i4;sa3s3
sa3i4;sa3s4
sa3i4;sa3i1
sa3i1;sa3s5
sa3i1;sa3s7
sa3i1;sa3a4
sa3i1;sa3a8
sa3i1;sa3a5
sa3i1;sa3i2
sa3i2;sa3s7
sa3i2;sa3s8
sa3i2;sa3s9
sa3i1;sa3s6



sa0a2;sa0i21
sa0i21;sa0i5
sa0i5;sa0i6
sa0i6;sa1i31
sa1i31;sa1i21
sa1i31;sa1a3
sa1a3;sa1a2
sa1i21;sa1i5
sa1i5;sa1i6
sa1i6;sa2i31
sa2i31;sa2i21
sa2i31;sa2a3
sa2i21;sa2a2
sa2i21;sa2i5
sa2a3;sa2a2
sa2i5;sa2i6
sa2i6;sa3a3
sa3a3;sa3a2


sa0a5;sa0i8
sa0i8;sa0i7
sa0i8;sa0i9
sa0i7;sa1a4
sa0i9;sa1a6
sa1a5;sa1i8
sa1i8;sa1i7
sa1i8;sa1i9
sa1i7;sa2a4
sa1i9;sa2a6
sa2a5;sa2i8
sa2i8;sa2i7
sa2i8;sa2i9
sa2i7;sa3a4
sa2i9;sa3a6
sa3a5;sa3i8
sa3i8;sa3i7
sa3i8;sa3i9



g1;sa0a1
